,,,Availability,,,
Company,Quarter,Sector,Transcript,Notes,PPT,Concall Audio
MARUTI SUZUKI INDIA LTD.,Q4-2025,Automobiles,TRUE,TRUE,TRUE,TRUE
OLA ELECTRIC MOBILITY LTD,Q4-2025,Automobiles,TRUE,TRUE,TRUE,TRUE
OLECTRA GREENTECH LIMITED,Q4-2025,Automobiles,TRUE,TRUE,TRUE,FALSE
POPULAR VEHICLES N SER L,Q4-2025,Automobiles,TRUE,TRUE,TRUE,FALSE
TATA MOTORS LIMITED,Q4-2025,Automobiles,TRUE,TRUE,TRUE,TRUE
TUNWAL E-MOTORS LIMITED,Q4-2025,Automobiles,FALSE,FALSE,FALSE,FALSE
TVS MOTOR COMPANY LTD,Q4-2025,Automobiles,TRUE,TRUE,TRUE,TRUE
ASIAN PAINTS LTD,Q2-2026,Consumer Goods,TRUE,FALSE,TRUE,TRUE
BRITTANIA INDUSTRIES LTD,Q2-2026,Consumer Goods,TRUE,FALSE,TRUE,TRUE
ITC LTD,Q2-2026,Consumer Goods,FALSE,FALSE,TRUE,FALSE
BOROSIL LTD,Q2-2026,Consumer Goods,TRUE,FALSE,TRUE,TRUE
DABUR INDIA LTD,Q2-2026,Consumer Goods,TRUE,FALSE,TRUE,TRUE
BHARAT HEAVY ELECTRICALS LTD,Q1-2026,Energy,FALSE,FALSE,TRUE,FALSE
ADANI GREEN ENERGY LTD,Q2-2026,Energy,TRUE,FALSE,TRUE,TRUE
TATA POWER COMPANY LTD,Q2-2026,Energy,TRUE,FALSE,TRUE,FALSE
NTPC LTD,Q2-2026,Energy,TRUE,FALSE,FALSE,TRUE
HITACHI ENERGY INDIA LTD,Q2-2026,Energy,TRUE,FALSE,TRUE,TRUE
STATE BANK OF INDIA,Q2-2026,Finance,TRUE,FALSE,TRUE,FALSE
ICICI BANK LTD,Q2-2026,Finance,TRUE,FALSE,TRUE,TRUE
ONE 97 COMMUNICATIONS LTD.,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
PB FINTECH LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
BAJAJ FINSERV LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
ANGEL ONE LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
GO DIGIT GENERAL INSURANCE,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
KFIN TECHNOLOGIES LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
BAJAJ FINANCE LTD,Q4-2025,Fintech,TRUE,TRUE,FALSE,FALSE
JIO FINANCIAL SERVICES LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
INFIBEAM AVENUES LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
AGS TRANSACT TECHNOLOGIES LTD,Q2-2025,Fintech,TRUE,TRUE,TRUE,FALSE
CENTRAL DEPOSITORY SERVICES (INDIA) LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
HDFC ASSET MANAGEMENT COMPANY LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
ONE MOBIKWIK SYSTEMS LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
DHANI SERVICES LTD,Q4-2025,Fintech,TRUE,TRUE,FALSE,FALSE
SUNDARAM FINANCE LTD,Q4-2024,Fintech,FALSE,FALSE,TRUE,FALSE
PTC INDIA FINANCIAL SERVICES LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
COMPUTER AGE MANAGEMENT SERVICES LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
INTELLECT DESIGN ARENA LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
TANLA PLATFORMS LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
ZAGGLE PREPAID OCEAN SERVICES LTD.,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
NIYOGIN FINTECH LTD.,Q4-2025,Fintech,FALSE,FALSE,TRUE,FALSE
RNFI SERVICES LTD.,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
DIGISPICE TECHNOLOGIES LTD.,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
3P LAND HOLDINGS LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
AADHAR HOUSING FINANCE LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
AAVAS FINANCIERS LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
ABANS FINANCIAL SERVICES LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
ADITYA BIRLA CAPITAL LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
AKIKO GLOBAL SERVICES LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
AKME FINTRADE (INDIA) LTD,Q4-2025,Fintech,FALSE,FALSE,TRUE,FALSE
APTUS VALUE HOUSING FINANCE INDIA LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
ARMAN FINANCIAL SERVICES LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
ASCOM LEASING & INVESTMENTS LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
AUTHUM INVESTMENT & INFRASTRUCTURE LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
AVONMORE CAPITAL & MANAGEMENT SERVICES LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
BAID FINSERV LTD,Q4-2025,Fintech,FALSE,FALSE,TRUE,FALSE
BAJAJ HOLDINGS & INVESTMENT LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
BAJAJ HOUSING FINANCE LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
BEML LAND ASSETS LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
BF INVESTMENT LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
BINANI INDUSTRIES LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
BLB LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
CAN FIN HOMES LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,TRUE
CAPITAL INDIA FINANCE LTD,Q4-2025,Fintech,FALSE,FALSE,TRUE,FALSE
CAPITAL TRUST LTD,Q4-2025,Fintech,FALSE,FALSE,TRUE,FALSE
CAPRI GLOBAL CAPITAL LTD,Q4-2025,Fintech,TRUE,TRUE,TRUE,FALSE
CENTRUM CAPITAL LTD,Q4-2025,Fintech,FALSE,FALSE,FALSE,FALSE
